Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
RFN,Fertilizers by Nutrient,159,China,5173,Use per value of agricultural production,3102,Nutrient nitrogen N (total),1980,1980,g/Int$,58.5,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5510,Production,3102,Nutrient nitrogen N (total),1981,1981,t,10154000,A,Official figure,
RFN,Fertilizers by Nutrient,159,China,5610,Import quantity,3102,Nutrient nitrogen N (total),1981,1981,t,1430600,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1981,1981,t,11528300,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),1981,1981,kg/ha,114.25,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5172,Use per capita,3102,Nutrient nitrogen N (total),1981,1981,kg/cap,11.29,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5173,Use per value of agricultural production,3102,Nutrient nitrogen N (total),1981,1981,g/Int$,53.38,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5510,Production,3102,Nutrient nitrogen N (total),1982,1982,t,10458000,A,Official figure,
RFN,Fertilizers by Nutrient,159,China,5610,Import quantity,3102,Nutrient nitrogen N (total),1982,1982,t,1827500,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5910,Export quantity,3102,Nutrient nitrogen N (total),1982,1982,t,2500,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1982,1982,t,12274900,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),1982,1982,kg/ha,115.91,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5172,Use per capita,3102,Nutrient nitrogen N (total),1982,1982,kg/cap,11.83,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5173,Use per value of agricultural production,3102,Nutrient nitrogen N (total),1982,1982,g/Int$,52.2,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5510,Production,3102,Nutrient nitrogen N (total),1983,1983,t,11322500,A,Official figure,
