Area,Item,Element,Year,Value
China,"Roots and Tubers, Total",Area harvested,1982,9756883
China,"Roots and Tubers, Total",Yield,1982,14458.7
China,"Roots and Tubers, Total",Production,1982,141071730
China,"Roots and Tubers, Total",Area harvested,1983,9783765
China,"Roots and Tubers, Total",Yield,1983,15544.7
China,"Roots and Tubers, Total",Production,1983,152085799
China,"Roots and Tubers, Total",Area harvested,1984,9376220
China,"Roots and Tubers, Total",Yield,1984,15804.5
China,"Roots and Tubers, Total",Production,1984,148186602
China,"Roots and Tubers, Total",Area harvested,1985,8948283
China,"Roots and Tubers, Total",Yield,1985,15146.1
China,"Roots and Tubers, Total",Production,1985,135531247
China,"Roots and Tubers, Total",Area harvested,1986,9043792
China,"Roots and Tubers, Total",Yield,1986,14593.5
China,"Roots and Tubers, Total",Production,1986,131980205
China,"Roots and Tubers, Total",Area harvested,1987,9221520
China,"Roots and Tubers, Total",Yield,1987,15852.3
China,"Roots and Tubers, Total",Production,1987,146181855
China,"Roots and Tubers, Total",Area harvested,1988,9397511
China,"Roots and Tubers, Total",Yield,1988,14858.2
China,"Roots and Tubers, Total",Production,1988,139630062
China,"Roots and Tubers, Total",Area harvested,1989,9426061
China,"Roots and Tubers, Total",Yield,1989,14984.5
China,"Roots and Tubers, Total",Production,1989,141244869
China,"Roots and Tubers, Total",Area harvested,1990,9436847
China,"Roots and Tubers, Total",Yield,1990,14979
China,"Roots and Tubers, Total",Production,1990,141354540
China,"Roots and Tubers, Total",Area harvested,1991,9396820
China,"Roots and Tubers, Total",Yield,1991,14964.2
China,"Roots and Tubers, Total",Production,1991,140615815
China,"Roots and Tubers, Total",Area harvested,1992,9565551
China,"Roots and Tubers, Total",Yield,1992,15380.7
China,"Roots and Tubers, Total",Production,1992,147124496.3
China,"Roots and Tubers, Total",Area harvested,1993,9627535
China,"Roots and Tubers, Total",Yield,1993,17036
China,"Roots and Tubers, Total",Production,1993,164014320
China,"Roots and Tubers, Total",Area harvested,1994,9596450
China,"Roots and Tubers, Total",Yield,1994,16293.9
China,"Roots and Tubers, Total",Production,1994,156363742.6
China,"Roots and Tubers, Total",Area harvested,1995,9845602
China,"Roots and Tubers, Total",Yield,1995,17092.5
China,"Roots and Tubers, Total",Production,1995,168285881.7
China,"Roots and Tubers, Total",Area harvested,1996,10126198
China,"Roots and Tubers, Total",Yield,1996,17979.2
China,"Roots and Tubers, Total",Production,1996,182060968
China,"Roots and Tubers, Total",Area harvested,1997,10120956
China,"Roots and Tubers, Total",Yield,1997,16300
China,"Roots and Tubers, Total",Production,1997,164971639.4
China,"Roots and Tubers, Total",Area harvested,1998,10340362
China,"Roots and Tubers, Total",Yield,1998,17934.4
China,"Roots and Tubers, Total",Production,1998,185448147
China,"Roots and Tubers, Total",Area harvested,1999,10688708
China,"Roots and Tubers, Total",Yield,1999,17548.3
China,"Roots and Tubers, Total",Production,1999,187568990.3
China,"Roots and Tubers, Total",Area harvested,2000,10876496
China,"Roots and Tubers, Total",Yield,2000,17457.7
China,"Roots and Tubers, Total",Production,2000,189878797.5
China,"Roots and Tubers, Total",Area harvested,2001,10558224
China,"Roots and Tubers, Total",Yield,2001,17411.2
China,"Roots and Tubers, Total",Production,2001,183831302.8
China,"Roots and Tubers, Total",Area harvested,2002,10228029
China,"Roots and Tubers, Total",Yield,2002,18485.1
China,"Roots and Tubers, Total",Production,2002,189065631.5
China,"Roots and Tubers, Total",Area harvested,2003,10057638
China,"Roots and Tubers, Total",Yield,2003,18052.8
China,"Roots and Tubers, Total",Production,2003,181568508.1
China,"Roots and Tubers, Total",Area harvested,2004,9803585
China,"Roots and Tubers, Total",Yield,2004,18717.1
China,"Roots and Tubers, Total",Production,2004,183494772.7
China,"Roots and Tubers, Total",Area harvested,2005,9863064
China,"Roots and Tubers, Total",Yield,2005,18171.2
China,"Roots and Tubers, Total",Production,2005,179223704.1
China,"Roots and Tubers, Total",Area harvested,2006,8242504
China,"Roots and Tubers, Total",Yield,2006,18402.3
China,"Roots and Tubers, Total",Production,2006,151681187
China,"Roots and Tubers, Total",Area harvested,2007,8383702
China,"Roots and Tubers, Total",Yield,2007,17371.9
China,"Roots and Tubers, Total",Production,2007,145641096
China,"Roots and Tubers, Total",Area harvested,2008,8656526
China,"Roots and Tubers, Total",Yield,2008,17690.8
China,"Roots and Tubers, Total",Production,2008,153140639
China,"Roots and Tubers, Total",Area harvested,2009,8469870
China,"Roots and Tubers, Total",Yield,2009,17254.5
